Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[-16.3784  22.8417 723.892 ] , [ -16.321699 22.109501 723.380005 ] [ -16.399799 22.4601 724.955017 ] [ -16.195499 23.019199 723.656006 ]
[ 13.3499  27.5533 727.282 ] , [ 11.8832 27.5802 728.028992 ] [ 12.0419 28.0998 727.106995 ] [ 12.386 28.8848 727.960999 ]
[ -7.64254  38.2568  727.142  ] , [ -8.4637 37.397499 726.947998 ] [ -8.65279 39.1791 727.840027 ] [ -7.89631 37.347698 727.497009 ]
[ 13.9646  36.8308 726.951 ] , [ 14.7085 37.619099 728.070984 ] [ 14.8337 35.8256 727.447998 ] [ 15.4673 39.064899 727.546997 ]
[ 15.6434  40.8988 727.823 ] , [ 16.2344 42.322899 728.098999 ] [ 15.5689 40.275299 728.031006 ] [ 16.497999 41.528801 727.590027 ]
[  1.38396  38.5769  725.386  ] , [ 1.42148 38.907799 724.765015 ] [ -0.285067 37.450802 724.109985 ] [ -1.05493 39.696701 725.507019 ]
[-11.6481  39.2104 725.977 ] , [ -12.6763 38.904598 725.036987 ] [ -13.8517 41.134102 725.439026 ] [ -10.5238 38.468102 726.450989 ]
[-14.4443  40.233  724.849 ] , [ -15.4131 41.610298 724.880981 ] [ -13.8517 41.134102 725.439026 ] [ -13.9516 39.369301 724.520996 ]
[-17.9832  36.7635 725.765 ] , [ -18.2931 38.233299 724.848999 ] [ -18.322599 36.279701 725.005005 ] [ -19.1481 37.0854 725.515015 ]
[1.17688e+01 5.58864e-01 7.24330e+02] , [ 11.7183 -0.725703 725.59198 ] [ 11.4775 1.11883 723.767029 ] [ 11.565 1.27562 724.349976 ]
[-15.1779    6.09889 722.407  ] , [ -15.8539 6.26315 723.088013 ] [ -14.8317 6.62823 722.099976 ] [ -15.2558 5.74327 723.072021 ]
[ 13.8244    9.29455 724.05   ] , [ 14.1372 8.8337 724.284973 ] [ 13.4235 9.09115 722.922974 ] [ 13.6837 9.66466 724.099976 ]
[ 13.0655  11.2245 722.952 ] , [ 13.5784 10.7789 724.098999 ] [ 13.0753 10.7114 722.142029 ] [ 12.8545 11.9603 722.981018 ]
[-16.2806  31.3692 724.31  ] , [ -16.778601 31.888599 724.629028 ] [ -15.402 30.797199 723.929016 ] [ -16.3888 30.226999 724.843994 ]
[ 13.0122  32.0551 725.584 ] , [ 13.1981 30.560101 725.719971 ] [ 13.2421 31.3344 725.04303 ] [ 14.5808 34.046398 725.213013 ]
[-11.0652  36.9567 725.129 ] , [ -10.8883 36.258999 724.228027 ] [ -11.884 37.085701 724.731018 ] [ -10.9891 37.292999 725.310974 ]
[ -5.50865  -7.65646 724.521  ] , [ -4.42641 -8.79662 725.473022 ] [ -5.54832 -8.65574 725.124023 ] [ -5.7316 -6.83298 723.950989 ]
[  5.42194  -5.74349 724.692  ] , [ 4.85877 -5.77525 723.776001 ] [ 5.44403 -3.99602 723.424011 ] [ 5.5406 -5.83482 724.866028 ]
[  8.14545  -4.98274 725.693  ] , [ 8.7825 -5.25868 725.408997 ] [ 7.99999 -5.33788 725.982971 ] [ 8.6672 -3.42305 724.471008 ]
[-15.9055  11.3995 722.757 ] , [ -16.1945 10.0565 722.18103 ] [ -15.7827 11.6425 723.40802 ] [ -15.7577 11.8091 722.335999 ]
[-16.3291  28.8951 724.009 ] , [ -16.2876 27.813499 723.591003 ] [ -15.8703 29.6411 724.283997 ] [ -15.8213 29.0879 723.612976 ]
[-17.1612  33.9827 724.442 ] , [ -17.4569 33.082901 724.768005 ] [ -17.174999 34.191299 724.377991 ] [ -16.0 32.5438 724.002014 ]
[ 11.7888  47.7953 725.503 ] , [ 11.7874 47.173302 725.205017 ] [ 9.94307 47.453999 726.427002 ] [ 12.0747 49.143398 725.995972 ]
[  2.70372  -6.72114 723.709  ] , [ 2.11028 -7.29372 724.223999 ] [ 3.58486 -5.87822 723.080017 ] [ 3.09416 -7.67744 723.685974 ]
[ -1.35001  -6.92573 724.257  ] , [ -1.30285 -6.61906 724.112 ] [ -1.24455 -7.76016 724.72998 ] [ -2.3661 -7.67305 724.903992 ]
[  4.89712  -3.38586 722.263  ] , [ 4.73158 -4.0308 722.330994 ] [ 4.51751 -2.65923 721.552979 ] [ 5.78108 -3.23425 723.231995 ]
[ 13.3518  12.3852 721.021 ] , [ 12.6309 12.6924 721.021973 ] [ 12.979 13.3272 720.96698 ] [ 12.655 14.1614 722.525024 ]
[  7.38527  33.5676  722.375  ] , [ 7.55962 33.656601 722.554016 ] [ 6.43286 34.8554 721.661987 ] [ 5.72973 34.0569 722.651978 ]
[  3.38034  35.4303  722.123  ] , [ 4.11367 35.6959 721.875 ] [ 3.47239 35.951801 721.627991 ] [ 3.52243 37.0317 722.822021 ]
[  4.63765  37.4571  724.305  ] , [ 4.53157 36.891899 723.961975 ] [ 4.14115 38.352699 724.53302 ] [ 4.49534 37.414902 724.533997 ]
[-13.972   37.1857 724.07  ] , [ -12.9707 35.915401 724.090027 ] [ -14.0462 37.236801 724.093018 ] [ -12.853 37.501499 724.491028 ]
[  8.97688  39.0697  724.054  ] , [ 7.59574 36.214802 724.106018 ] [ 8.2011 38.652302 724.380005 ] [ 9.45788 39.577599 723.955017 ]
[ 10.1097  43.1245 724.669 ] , [ 9.57279 41.834499 724.552979 ] [ 9.36414 43.236301 725.051025 ] [ 11.3523 44.231499 724.26001 ]
[  7.70158  -2.55139 723.958  ] , [ 7.6172 -2.26265 723.93103 ] [ 8.03901 -3.1804 724.609009 ] [ 7.55828 -5.55298 726.161011 ]
[  9.98671  -4.98154 725.497  ] , [ 8.7825 -5.25868 725.408997 ] [ 9.59943 -5.62402 724.495972 ] [ 8.83612 -5.94388 726.072021 ]
[-11.8424    1.72562 723.448  ] , [ -11.353 1.2613 723.237 ] [ -12.2586 1.74573 723.947998 ] [ -11.4436 2.80321 722.377014 ]
[ 12.2916    2.65416 723.657  ] , [ 11.9929 3.46624 724.114014 ] [ 12.0258 1.82994 725.028015 ] [ 11.3398 2.78085 723.388 ]
[-17.3123  13.8471 725.216 ] , [ -17.023399 13.5351 725.315002 ] [ -17.626801 13.7927 725.536011 ] [ -17.1751 15.2434 724.085999 ]
[-16.7928  16.9017 723.015 ] , [ -16.242399 16.745399 722.393982 ] [ -17.320499 16.274099 723.771973 ] [ -17.1598 17.927999 721.906006 ]
[ 13.1584  19.4912 725.091 ] , [ 12.532 20.179399 723.593994 ] [ 13.7442 19.0912 726.731018 ] [ 13.2699 19.430599 725.098022 ]
[-17.6238  26.9158 722.954 ] , [ -16.353001 27.243 722.880981 ] [ -18.018101 26.304399 721.534973 ] [ -17.634701 26.4055 723.40802 ]
[ 11.2572  23.4324 724.165 ] , [ 11.962 21.988199 724.211975 ] [ 11.6799 23.0522 723.221985 ] [ 11.4458 24.442801 724.588013 ]
[  8.39094  35.6068  723.858  ] , [ 7.59574 36.214802 724.106018 ] [ 9.26949 36.950298 723.609985 ] [ 7.5573 34.9772 723.955994 ]
[ -0.842995  36.1406   722.916   ] , [ -0.134914 36.0863 723.135986 ] [ -1.33147 35.722801 722.546021 ] [ -1.20039 36.557999 723.382996 ]
[-12.4066    4.64972 720.463  ] , [ -12.4168 5.46705 721.247986 ] [ -11.27 4.69071 719.963989 ] [ -11.3185 4.45793 720.663025 ]
[ 11.8704  26.9866 723.562 ] , [ 11.9763 27.7936 724.364014 ] [ 11.9202 26.561899 724.085022 ] [ 12.9303 27.2945 723.659973 ]
[-13.2084  31.9339 723.251 ] , [ -12.8953 30.828699 723.14801 ] [ -13.9222 31.1651 723.315002 ] [ -13.419 32.714199 723.419006 ]
[-13.643  34.438 723.655] , [ -13.419 32.714199 723.419006 ] [ -13.8885 34.478001 723.674988 ] [ -12.062 34.909 723.984985 ]
[ 11.4175   -2.10982 724.254  ] , [ 11.6419 -3.59202 724.072021 ] [ 11.767 -1.33205 723.723999 ] [ 11.6282 -1.04375 724.963989 ]
[ 11.9742    4.37456 722.424  ] , [ 12.1931 4.21471 723.442993 ] [ 11.4327 5.22201 722.093994 ] [ 12.2197 4.96857 722.585999 ]
[-17.1543  20.0972 721.138 ] , [ -17.019899 20.417 720.536987 ] [ -16.996 19.8237 720.278992 ] [ -16.67 21.465799 721.312012 ]
[-13.87    29.2976 721.25  ] , [ -13.5798 28.8428 719.466003 ] [ -14.1472 29.403 721.674988 ] [ -13.4214 29.412701 720.33197 ]
[ -9.8434  35.4115 723.417 ] , [ -10.3119 36.362999 723.948975 ] [ -10.1564 35.539101 721.940002 ] [ -10.7801 35.181301 723.205994 ]
[  2.08922  -3.86283 721.177  ] , [ 2.14654 -3.90716 720.713989 ] [ 3.33798 -4.32741 721.484985 ] [ 2.22222 -4.93144 721.544983 ]
[ -6.04215  -3.83069 722.033  ] , [ -5.65719 -4.40233 722.262024 ] [ -6.42651 -3.41688 721.981018 ] [ -6.30938 -1.86769 720.771973 ]
[-16.3504  14.5089 720.416 ] , [ -16.804001 15.4549 719.992981 ] [ -16.0791 14.3804 719.388 ] [ -16.013399 15.3383 720.405029 ]
[-10.7675  32.4475 720.376 ] , [ -11.102 32.021801 721.656006 ] [ -11.1176 33.586601 721.158997 ] [ -11.8867 32.808201 720.866028 ]
[ -7.94307  34.9932  719.415  ] , [ -7.30972 34.9333 720.075989 ] [ -7.61849 34.570202 718.400024 ] [ -8.44253 34.818001 719.10199 ]
[ -1.89932  -3.62044 721.509  ] , [ -0.131377 -3.53203 721.778015 ] [ -2.85857 -3.72937 721.919006 ] [ -1.13803 -2.94571 721.106018 ]
[ 11.4822    6.78162 721.843  ] , [ 11.5003 6.59292 721.692993 ] [ 11.9043 7.04511 721.721985 ] [ 12.122 6.13265 721.948975 ]
[-15.5493    9.03715 719.811  ] , [ -15.6921 9.27731 719.434021 ] [ -15.4082 8.36835 720.06897 ] [ -15.3811 9.24217 720.268982 ]
[ 11.622     8.11342 721.007  ] , [ 11.5414 7.50293 720.937012 ] [ 11.6158 8.83339 720.646973 ] [ 11.9003 8.23188 721.797974 ]
[ 12.2519  12.4199 719.28  ] , [ 12.4408 12.6481 718.322998 ] [ 12.6949 13.0798 720.427979 ] [ 11.6906 12.5937 720.03302 ]
[ 11.929   10.1565 716.578 ] , [ 12.4823 10.7248 717.35199 ] [ 12.4592 9.74186 716.921997 ] [ 12.6429 10.5217 716.708008 ]
[ 13.1458  12.0347 716.593 ] , [ 13.0006 10.8008 716.299988 ] [ 13.1633 12.3859 716.017029 ] [ 12.5279 11.6645 716.825012 ]
[  2.26331  34.5203  718.933  ] , [ 2.19438 34.231499 717.710999 ] [ 1.27782 34.388901 719.424011 ] [ 2.52493 34.536598 718.849976 ]
[ -2.63811  34.1617  719.624  ] , [ -1.82054 34.000999 718.768005 ] [ -2.9052 33.7733 717.924988 ] [ -2.73054 34.4744 720.309021 ]
[ 3.64974e+00 -6.09658e-01  7.20234e+02] , [ 3.48612 -2.36516 720.416992 ] [ 3.9873 -0.699176 719.080017 ] [ 5.58828 -0.68184 721.070007 ]
[  5.95024  -1.54562 720.756  ] , [ 4.45397 -2.06336 721.120972 ] [ 5.58828 -0.68184 721.070007 ] [ 5.56824 -1.65614 721.950989 ]
[-9.60120e+00 -1.48542e-02  7.20503e+02] , [ -9.72702 -0.491345 720.695007 ] [ -9.68907 0.671074 720.132019 ] [ -8.87216 0.579964 720.797974 ]
[  7.65908  32.8576  719.477  ] , [ 8.60763 33.279701 719.531982 ] [ 7.03258 33.241199 718.255981 ] [ 6.98907 33.525501 719.58197 ]
[1.1146e+01 2.6412e-01 7.2152e+02] , [ 10.7346 1.49607 721.380005 ] [ 11.3218 -0.236833 721.89801 ] [ 10.1039 -0.020975 720.747009 ]
[  9.42824  -1.72379 720.791  ] , [ 9.60404 -1.5991 720.093994 ] [ 10.4181 -2.12047 721.135986 ] [ 9.35479 -2.47015 720.573975 ]
[ 11.3554    9.89671 719.088  ] , [ 12.3748 10.7178 718.379028 ] [ 11.7427 10.5155 719.35199 ] [ 11.7752 9.42927 720.039001 ]
[-18.6232  23.1277 719.396 ] , [ -18.4452 22.461399 720.216003 ] [ -18.716801 23.509899 719.507996 ] [ -19.0795 22.0718 719.687988 ]
[  9.19579  30.1234  719.255  ] , [ 9.17238 30.061199 720.341003 ] [ 9.626 29.1842 719.216003 ] [ 8.81407 30.173 719.145996 ]
[ -6.19584  -0.7565  718.783  ] , [ -5.73361 -1.26615 719.768005 ] [ -6.38775 -0.680379 719.838013 ] [ -6.41076 0.378374 718.16803 ]
[ 13.1843  19.0957 721.547 ] , [ 13.8429 17.922899 721.971008 ] [ 12.9677 19.7232 720.505981 ] [ 12.5055 19.892799 721.815979 ]
[ 13.3016  22.6353 721.195 ] , [ 13.0253 21.417801 719.765991 ] [ 13.602 23.1036 720.083984 ] [ 12.597 23.0126 720.150024 ]
[ 10.1577    4.86409 719.82   ] , [ 10.692 4.43362 720.116028 ] [ 10.6423 5.42162 718.763 ] [ 10.9038 5.85926 720.54303 ]
[-17.3515  17.7455 718.229 ] , [ -17.9811 17.6373 717.601013 ] [ -18.3328 17.556 718.554016 ] [ -17.458 18.9228 718.202026 ]
[ 12.4403  26.2395 719.921 ] , [ 13.2723 25.993601 721.046997 ] [ 12.7268 25.3638 720.072998 ] [ 13.0044 26.084999 719.575989 ]
[  1.17788   -0.909536 718.701   ] , [ 0.98653 -0.545534 718.344971 ] [ 1.39324 -1.18709 719.171021 ] [ 0.346235 -1.43687 719.471008 ]
[ -2.22674  -1.13567 716.94   ] , [ -2.13043 -0.054067 715.375977 ] [ -1.93321 -1.06641 718.083984 ] [ -3.03033 -1.08907 718.143982 ]
[  9.86921   3.64584 720.643  ] , [ 9.82697 4.34156 718.656982 ] [ 10.692 4.43362 720.116028 ] [ 10.142 2.08967 720.578979 ]
[ 10.2058    1.83547 721.304  ] , [ 11.0662 2.84834 721.557007 ] [ 10.7346 1.49607 721.380005 ] [ 10.142 2.08967 720.578979 ]
[ 10.5533    5.46041 719.028  ] , [ 10.692 4.43362 720.116028 ] [ 10.6423 5.42162 718.763 ] [ 10.9038 5.85926 720.54303 ]
[ 11.2442    5.15415 718.405  ] , [ 11.0238 5.41345 717.825989 ] [ 10.8939 5.66398 718.77301 ] [ 10.6423 5.42162 718.763 ]
[-13.8373    7.07573 717.147  ] , [ -15.5785 6.26644 717.257996 ] [ -15.9021 7.08011 718.08197 ] [ -15.1484 7.14273 716.228027 ]
[-17.1766  11.7912 717.263 ] , [ -16.6325 10.2331 717.919006 ] [ -16.7645 12.0597 717.28302 ] [ -17.5854 11.4399 717.184021 ]
[-11.6401  30.1009 717.226 ] , [ -12.0032 29.7547 718.10498 ] [ -12.173 30.207001 718.869019 ] [ -11.1136 29.817499 716.297974 ]
[ 12.8229  10.562  714.796 ] , [ 13.0006 10.8008 716.299988 ] [ 12.9147 10.0006 716.117981 ] [ 14.2843 10.0072 715.406006 ]
[-14.8392  26.9425 718.099 ] , [ -14.8489 26.7586 717.655029 ] [ -15.2476 27.7248 720.599976 ] [ -14.4278 28.199301 720.190002 ]
[ -8.418   32.6387 716.34  ] , [ -9.91363 32.5084 717.724976 ] [ -7.85647 32.945801 716.000977 ] [ -8.89116 32.555801 715.84198 ]
[8.13792e+00 6.55423e-01 7.19218e+02] , [ 8.5409 -0.268367 719.093994 ] [ 7.75596 0.394319 719.497009 ] [ 8.48037 1.88041 718.307983 ]
[-10.1258    3.07655 717.754  ] , [ -9.68253 3.43374 718.153015 ] [ -10.2704 3.99788 717.090027 ] [ -9.29421 3.34483 716.960022 ]
[ 12.16      6.20489 717.732  ] , [ 13.0036 5.57129 718.106018 ] [ 12.3895 5.20068 718.02301 ] [ 13.0692 5.67941 716.33197 ]
[  1.14527  33.5806  715.331  ] , [ 0.415713 33.657299 715.632996 ] [ 1.67845 33.954102 716.638977 ] [ 1.41022 33.4114 714.596008 ]
[ -3.63759  33.487   715.804  ] , [ -4.25792 33.242401 713.489014 ] [ -4.88309 33.597198 715.296997 ] [ -3.51834 33.535301 716.062988 ]
[-17.0671  15.3887 714.93  ] , [ -17.8829 15.7565 716.945984 ] [ -17.3892 15.1475 713.950989 ] [ -17.698799 14.9871 715.039978 ]
[-18.171   21.1241 715.873 ] , [ -17.4594 20.526199 715.880005 ] [ -18.448999 20.360701 717.547974 ] [ -18.078501 21.339199 715.653015 ]
[ 13.5751  16.2988 722.647 ] , [ 14.5813 16.142799 722.86499 ] [ 14.5714 17.086599 722.028015 ] [ 14.5342 17.1401 722.882996 ]
[ 14.3874  15.5174 719.195 ] , [ 15.4919 14.9858 719.583008 ] [ 14.4011 16.051201 718.195984 ] [ 14.5502 16.533001 719.164978 ]
[  5.78027   1.09079 718.791  ] , [ 4.76465 0.173255 718.726013 ] [ 5.08482 1.11636 717.504028 ] [ 6.3079 0.85006 719.070007 ]
[  8.09889   2.81221 718.736  ] , [ 8.06512 1.64514 718.682007 ] [ 8.14402 2.67781 717.968994 ] [ 8.48037 1.88041 718.307983 ]
[ 13.9819  18.733  717.472 ] , [ 13.7993 17.4223 717.661011 ] [ 13.2974 18.4296 715.981018 ] [ 13.8722 18.999901 717.570007 ]
[ 14.0051  21.7904 716.835 ] , [ 13.9135 20.4062 716.039978 ] [ 15.1399 20.7997 717.466003 ] [ 13.9954 20.426399 717.437012 ]
[-15.1185  24.9818 714.623 ] , [ -14.6781 25.315001 714.39801 ] [ -15.2104 24.441601 714.267029 ] [ -16.107901 25.381399 715.875977 ]
[  5.73076  32.9589  715.316  ] , [ 5.70581 33.172001 714.911011 ] [ 4.95104 33.339199 714.492004 ] [ 6.42381 33.516399 716.187988 ]
[  3.91082   1.17763 717.385  ] , [ 3.89153 0.957839 716.890015 ] [ 5.08482 1.11636 717.504028 ] [ 3.91947 0.717571 717.672974 ]
[ 13.6589  11.6022 714.1   ] , [ 14.3957 10.5158 714.155029 ] [ 13.7725 12.4054 712.583008 ] [ 14.6828 11.7928 714.198975 ]
[ 12.1923  26.0757 715.734 ] , [ 13.0668 25.907 716.08197 ] [ 10.7914 25.6668 713.35498 ] [ 12.4524 26.356001 715.737976 ]
[-11.909  28.059 714.066] , [ -11.6411 27.407499 713.02002 ] [ -12.0149 27.8997 714.468018 ] [ -11.8839 28.639299 714.265015 ]
[  9.7445  29.9784 715.132 ] , [ 8.77643 29.150801 715.208008 ] [ 9.18908 30.052799 714.73999 ] [ 8.57077 30.003901 715.588013 ]
[  9.02424   4.05803 716.805  ] , [ 9.64206 4.0146 716.642029 ] [ 9.07675 3.84176 716.994995 ] [ 8.9641 3.83553 716.041992 ]
[ 11.3808    4.47753 715.636  ] , [ 11.792 4.02165 715.955994 ] [ 10.622 4.35612 716.52301 ] [ 10.8712 3.43959 715.697998 ]
[  9.96883   3.83237 716.282  ] , [ 10.8712 3.43959 715.697998 ] [ 9.64206 4.0146 716.642029 ] [ 8.9641 3.83553 716.041992 ]
[-11.8984    5.30584 714.518  ] , [ -13.5995 4.59214 714.742004 ] [ -12.0532 4.95586 716.234009 ] [ -12.8027 5.01387 715.942017 ]
[-15.5525    9.01403 714.024  ] , [ -15.1473 8.96163 715.038025 ] [ -16.139099 9.18391 713.586975 ] [ -15.2169 9.11203 713.88501 ]
[ 13.5745    9.04113 713.953  ] , [ 13.0176 8.54482 715.005981 ] [ 13.2455 8.53382 713.437012 ] [ 14.1894 9.31477 714.409973 ]
[ 13.0136  10.494  712.319 ] , [ 13.2765 10.2522 710.71698 ] [ 13.4161 11.4609 711.875977 ] [ 13.9645 10.1273 713.153992 ]
[-10.1471  31.345  713.409 ] , [ -10.8493 31.5273 713.286011 ] [ -9.14559 32.3974 712.997009 ] [ -9.17846 31.587099 712.310974 ]
[ -7.49255   1.48276 715.223  ] , [ -7.65115 1.85914 716.507996 ] [ -7.52729 1.85373 714.974976 ] [ -5.56357 0.672898 715.408997 ]
[ 12.8967    7.95617 715.73   ] , [ 13.1676 6.91458 715.171997 ] [ 12.8631 8.07505 715.708008 ] [ 13.1582 6.3278 717.098022 ]
[-17.0131  19.2733 712.685 ] , [ -16.336599 19.3123 713.116028 ] [ -16.971201 19.940599 711.908997 ] [ -17.2449 19.058901 711.804016 ]
[5.59943e-02 3.28058e+01 7.11475e+02] , [ -1.06182 32.825298 711.752991 ] [ 1.07706 33.011799 712.671021 ] [ 0.064836 32.490299 710.362976 ]
[  1.97977   0.95431 715.386  ] , [ 2.46122 0.846521 716.862976 ] [ 0.707789 0.444594 715.335999 ] [ 2.27443 1.02318 715.210022 ]
[ -9.64469   3.14598 711.106  ] , [ -9.17516 2.14276 710.825989 ] [ -9.94719 1.97021 711.01001 ] [ -9.68719 2.63984 709.934998 ]
[-13.6476    8.06357 711.356  ] , [ -12.8196 7.86059 710.940979 ] [ -13.812 8.59283 712.875 ] [ -13.1074 8.55921 710.554993 ]
[ -4.66571  33.0071  712.041  ] , [ -3.78237 32.873299 712.083984 ] [ -5.18664 32.885101 710.744995 ] [ -4.25792 33.242401 713.489014 ]
[-4.34994e+00  2.96675e-02  7.13187e+02] , [ -1.16247 0.075247 713.663025 ] [ -3.44639 0.26639 714.513977 ] [ -4.411 0.401262 713.16803 ]
[  4.47278   2.29543 714.987  ] , [ 3.50351 1.28642 714.356018 ] [ 6.33356 2.31065 714.575012 ] [ 3.44605 1.20717 715.552979 ]
[ 11.6887  18.5216 713.06  ] , [ 12.5754 18.5667 713.411011 ] [ 12.4419 18.484301 712.367004 ] [ 12.5048 18.4667 711.447021 ]
[ 13.9381  15.3756 715.186 ] , [ 13.2812 15.7085 712.546997 ] [ 14.1509 15.765 716.030029 ] [ 14.214 15.0143 714.429016 ]
[  7.08437   3.58361 714.016  ] , [ 7.59717 2.87651 713.161011 ] [ 7.46864 2.96131 714.242004 ] [ 6.21088 2.25962 713.685974 ]
[ 12.8915    6.39072 714.424  ] , [ 13.2714 6.03166 714.315002 ] [ 13.3149 6.66324 713.981018 ] [ 13.1676 6.91458 715.171997 ]
[ 12.22      6.71984 712.461  ] , [ 12.1233 5.71583 712.268982 ] [ 12.4743 7.54194 712.458984 ] [ 13.1752 6.20899 713.221008 ]
[-16.3017  13.0981 711.578 ] , [ -15.8758 13.555 710.406006 ] [ -15.8259 11.7867 711.745972 ] [ -16.4753 13.2971 711.588013 ]
[-14.6483  23.5994 711.258 ] , [ -14.2567 24.0518 712.051025 ] [ -14.654 23.0956 710.625977 ] [ -15.8937 22.8431 711.700012 ]
[  8.55254   3.14667 713.388  ] , [ 9.59854 2.94543 712.161987 ] [ 8.28825 3.14238 713.952026 ] [ 8.70082 3.02264 711.932007 ]
[ 12.3903  21.661  712.818 ] , [ 12.5119 20.6672 712.400024 ] [ 12.8809 21.893299 712.127014 ] [ 12.9048 20.990601 713.473999 ]
[ 10.6524  24.8427 712.301 ] , [ 10.4305 24.411699 711.625 ] [ 10.7914 25.6668 713.35498 ] [ 11.845 24.7446 713.994019 ]
[-11.3563  26.3103 710.699 ] , [ -11.3459 26.2999 710.807007 ] [ -11.0567 26.748301 710.208984 ] [ -11.364 25.457199 709.536011 ]
[ 11.3929    8.27221 710.549  ] , [ 11.2319 7.55395 710.406982 ] [ 10.92 8.69454 709.010986 ] [ 12.6373 8.57074 712.27002 ]
[-15.2808  17.3155 709.762 ] , [ -15.429 17.9715 709.802002 ] [ -14.6339 17.440001 709.179993 ] [ -15.9166 17.891001 711.012024 ]
[  8.95252  28.7313  711.27   ] , [ 9.21119 29.2624 711.585999 ] [ 8.21068 28.316299 711.335022 ] [ 8.66225 29.708799 710.629028 ]
[  4.39374    0.851729 711.921   ] , [ 5.55524 1.35724 711.939026 ] [ 3.5499 0.466006 711.973022 ] [ 4.76723 -0.018859 710.846985 ]
[  5.58331   1.78286 713.804  ] , [ 3.50351 1.28642 714.356018 ] [ 3.51149 1.19996 713.541016 ] [ 6.21088 2.25962 713.685974 ]
[  9.71701   3.12616 711.691  ] , [ 9.59854 2.94543 712.161987 ] [ 9.6829 2.86744 711.133972 ] [ 10.5036 2.29127 711.841003 ]
[ -5.21501  31.4536  708.     ] , [ -4.67671 31.7048 707.810974 ] [ -6.09278 30.8841 706.268982 ] [ -5.93109 31.669201 708.200012 ]
[ 12.7703  12.9271 710.421 ] , [ 13.4161 11.4609 711.875977 ] [ 12.3159 12.8637 709.211975 ] [ 12.9042 13.5476 710.81897 ]
[ 13.8496  14.5029 712.49  ] , [ 14.4035 13.8431 713.103027 ] [ 13.608 14.7109 712.049988 ] [ 14.3836 14.4476 713.648987 ]
[  9.77674  23.6657  708.851  ] , [ 8.48089 23.7687 707.913025 ] [ 9.43099 24.151199 709.817017 ] [ 10.3579 23.399799 709.151978 ]
[-10.0565  30.3623 709.037 ] , [ -8.66503 31.1318 709.046021 ] [ -10.0344 29.895201 708.421021 ] [ -10.3423 30.0814 709.288025 ]
[  3.10062   1.61511 712.578  ] , [ 1.0972 0.244974 712.697021 ] [ 3.36838 0.865066 712.767029 ] [ 3.51149 1.19996 713.541016 ]
[ 2.08857e+00 -3.99532e-01  7.11383e+02] , [ 2.15913 -0.783602 710.669006 ] [ 3.27837 -0.134523 711.27002 ] [ 1.30639 -0.185595 711.747986 ]
[  6.19217   2.12773 712.391  ] , [ 6.15715 2.01221 712.78302 ] [ 5.55524 1.35724 711.939026 ] [ 6.99707 1.83087 711.89801 ]
[  7.29762   1.6825  711.554  ] , [ 8.23811 2.05831 711.039001 ] [ 6.99707 1.83087 711.89801 ] [ 7.04495 1.0699 711.08197 ]
[-13.5478  21.4915 708.186 ] , [ -13.8362 21.068701 708.450012 ] [ -12.6469 22.353399 708.054016 ] [ -12.7551 21.0669 706.656006 ]
[ -0.731251  31.5489   707.424   ] , [ 0.116798 31.5137 707.380005 ] [ -0.035947 30.093901 704.869019 ] [ -0.249202 31.965799 708.109009 ]
[  8.57789   1.17519 710.461  ] , [ 8.23811 2.05831 711.039001 ] [ 8.35773 0.811048 710.153992 ] [ 9.75137 1.14408 708.869995 ]
[  9.12268   1.74205 708.198  ] , [ 9.75137 1.14408 708.869995 ] [ 10.2613 2.68539 707.968018 ] [ 9.5546 2.47028 709.620972 ]
[-14.4307  11.5201 708.815 ] , [ -13.902 10.9685 707.721985 ] [ -14.905 11.838 709.85498 ] [ -13.7724 12.4048 707.25 ]
[ 11.687   10.6354 708.368 ] , [ 12.0122 10.1575 708.416016 ] [ 11.4518 9.71863 708.627014 ] [ 12.0814 10.9858 707.518005 ]
[  3.61825   -0.773712 710.251   ] , [ 2.15913 -0.783602 710.669006 ] [ 3.83276 -0.98053 710.278015 ] [ 3.27837 -0.134523 711.27002 ]
[-1.52303e+00 -6.55996e-01  7.10349e+02] , [ -1.49351 -0.578009 711.507996 ] [ -2.32205 -0.888892 710.846008 ] [ -1.21761 -1.46148 710.22998 ]
[ -3.59539  -2.25977 708.925  ] , [ -4.61956 -2.45778 708.752014 ] [ -3.11497 -2.63023 709.059021 ] [ -3.25016 -1.43142 710.085022 ]
[-6.30088e+00 -2.68069e-01  7.10284e+02] , [ -6.21039 0.567257 710.72998 ] [ -6.12406 -0.351569 709.711975 ] [ -4.79591 -0.104235 711.150024 ]
[ 13.1026  17.1739 710.759 ] , [ 12.487 17.2062 711.172974 ] [ 12.3311 16.913099 709.625977 ] [ 12.4627 17.4454 710.455017 ]
[ 12.6369  21.5844 709.078 ] , [ 12.4592 21.629999 708.768005 ] [ 12.0171 22.7829 709.398987 ] [ 13.3064 21.394899 709.294983 ]
[-10.6494  24.2819 707.698 ] , [ -10.9827 23.3519 706.898987 ] [ -11.2715 24.8944 708.523987 ] [ -10.5762 24.2819 706.857971 ]
[  4.53716  32.07    711.293  ] , [ 3.70091 31.361099 709.632019 ] [ 3.73744 32.7029 711.400024 ] [ 5.58367 31.382299 711.547974 ]
