Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[ 20.3335 -41.004  789.951 ] , [ 20.960899 -40.847698 790.21698 ] [ 19.7927 -40.392899 790.935974 ] [ 21.454 -42.0271 788.596985 ]
[ 25.5612 -39.9676 787.225 ] , [ 25.646999 -39.546501 788.028992 ] [ 24.9713 -40.591 788.406006 ] [ 26.999201 -40.920502 787.140015 ]
[ 31.2509 -29.9372 789.042 ] , [ 31.667299 -30.022699 788.638 ] [ 30.5452 -28.6782 788.70697 ] [ 31.2386 -30.0201 789.187988 ]
[ -6.93587  -8.74508 787.877  ] , [ -7.37881 -8.84572 787.554993 ] [ -6.28366 -9.15204 788.424988 ] [ -6.99697 -6.93152 786.64801 ]
[-11.4576 -29.9544 790.116 ] , [ -10.8264 -30.194099 789.776978 ] [ -12.4381 -30.7913 789.98999 ] [ -10.127 -30.3328 791.208008 ]
[ 15.4324 -21.3493 787.586 ] , [ 15.6103 -20.465799 787.659973 ] [ 14.3858 -21.990601 787.838013 ] [ 15.3616 -21.6751 787.486023 ]
[ 16.3148 -18.763  787.43  ] , [ 18.0744 -19.2089 786.468994 ] [ 16.0989 -17.564501 787.638977 ] [ 16.2943 -19.566999 787.369019 ]
[ 17.3363 -15.6808 786.559 ] , [ 17.9664 -16.410299 786.132019 ] [ 18.1366 -14.9851 785.768005 ] [ 16.1758 -15.0519 787.692017 ]
[ 11.5648 -10.3185 787.966 ] , [ 10.5881 -10.3186 788.276978 ] [ 11.6552 -11.4392 788.469971 ] [ 11.845 -10.0454 787.629028 ]
[  2.84303  -4.19214 787.748  ] , [ 3.66459 -3.78528 787.052002 ] [ 2.27439 -3.73471 787.307983 ] [ 3.3206 -5.1787 788.280029 ]
[ 22.4379 -42.8682 787.163 ] , [ 21.454 -42.0271 788.596985 ] [ 20.0441 -44.886398 784.231995 ] [ 23.0511 -43.257198 786.716003 ]
[  4.72309 -43.4028  786.287  ] , [ 5.22017 -44.286098 784.929993 ] [ 6.17262 -42.920898 786.89801 ] [ 4.40978 -43.1745 786.611023 ]
[ 29.0009 -37.1882 787.495 ] , [ 27.9855 -37.0924 787.632019 ] [ 29.8606 -36.571098 787.077026 ] [ 29.423901 -36.440102 788.117004 ]
[-17.4135 -37.0123 790.717 ] , [ -18.521799 -36.2906 789.320007 ] [ -18.412701 -38.510601 790.038025 ] [ -16.712099 -36.773102 791.265991 ]
